[2026-06-16T05:16:18.278Z] === START ===
[2026-06-16T05:16:18.285Z] CONNECTED to proxy
[2026-06-16T05:16:18.291Z] DATA recv len=8 estado=0 d[1]=90 ZXAN=false
[2026-06-16T05:16:18.292Z] Sent zte login
[2026-06-16T05:16:18.292Z] DATA recv len=15 estado=1 d[1]=251 ZXAN=false
[2026-06-16T05:16:18.343Z] DATA recv len=338 estado=1 d[1]=42 ZXAN=false
[2026-06-16T05:16:18.344Z] Sent zte username
[2026-06-16T05:16:18.344Z] DATA recv len=2 estado=2 d[1]=10 ZXAN=false
[2026-06-16T05:16:18.344Z] Password prompt
[2026-06-16T05:16:18.466Z] DATA recv len=57 estado=3 d[1]=32 ZXAN=false
[2026-06-16T05:16:18.517Z] DATA recv len=9 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:19.349Z] Sent zte password
[2026-06-16T05:16:19.350Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:19.397Z] DATA recv len=81 estado=3 d[1]=32 ZXAN=true
[2026-06-16T05:16:21.366Z] Sent cmd[0]: terminal length 0
[2026-06-16T05:16:21.372Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:21.413Z] DATA recv len=5 estado=3 d[1]=88 ZXAN=true
[2026-06-16T05:16:21.460Z] Sent cmd[1]: show gpon onu state
[2026-06-16T05:16:21.461Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:21.508Z] DATA recv len=185 estado=3 d[1]=110 ZXAN=true
[2026-06-16T05:16:21.577Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:21.618Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:21.666Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:21.714Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:21.762Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:21.810Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:21.858Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:21.947Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:22.000Z] DATA recv len=61 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:22.048Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:22.096Z] DATA recv len=118 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:22.144Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:22.192Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:22.240Z] DATA recv len=118 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:22.288Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:22.336Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:22.383Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:22.429Z] DATA recv len=118 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:22.497Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:22.540Z] DATA recv len=61 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:22.588Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:22.677Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:22.728Z] DATA recv len=61 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:22.776Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:22.824Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:22.941Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:22.983Z] DATA recv len=61 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:23.030Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:23.077Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:23.124Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:23.171Z] DATA recv len=118 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:23.218Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:23.266Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:23.314Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:23.362Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:23.410Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:23.458Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:23.506Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:23.554Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:23.602Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:23.650Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:23.728Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:23.778Z] DATA recv len=61 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:23.824Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:23.958Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:23.998Z] DATA recv len=61 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:24.045Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:24.093Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:24.141Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:24.189Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:24.237Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:24.285Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:24.333Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:24.381Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:24.429Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:24.477Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:24.527Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:24.557Z] Starting stability check (timeout=45000ms espera=3200ms)
[2026-06-16T05:16:24.573Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:24.621Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:24.669Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:24.717Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:24.787Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:24.841Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:24.948Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:25.001Z] DATA recv len=61 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:25.048Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:25.063Z] check sc=0 len=4657 ZXAN=true
[2026-06-16T05:16:25.095Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:25.143Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:25.191Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:25.239Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:25.287Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:25.335Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:25.383Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:25.431Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:25.479Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:25.527Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
